ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,ma20_up,ma5_flat,ret,hv20,hv60,vol_expansion,vol_ma20,vol_shrink,vol_surge,obv,obv_ma20,price_new_low,obv_not_new_low,obv_divergence,rzye,rzye_chg,rzye_ma5,north_net,north_ma5,north_sum5,score,signal
000001.SH,2023-06-01,3204.6345,3196.1547,3225.093,3189.5174,3204.5644,0.0701,,312330759.0,400981483.2,,,,False,False,,,,False,,False,False,,,False,False,False,1519630679876.0,,,,,,39.0,减仓
000001.SH,2023-06-02,3230.0686,3212.4489,3233.9916,3211.737,3204.6345,25.4341,0.7936661731626549,294667098.0,377507927.7,,,,False,False,0.007936661731626549,,,False,,False,False,294667098.0,,False,False,False,1514702087093.0,-0.0032432832847268944,,,,,39.0,减仓
000001.SH,2023-06-05,3232.441,3231.8108,3244.1801,3221.6254,3230.0686,2.3724,0.07344735650505196,278060203.0,357810090.6,,,,False,False,0.0007344735650505196,,,False,,False,False,572727301.0,,False,False,False,1517116420106.0,0.001593932584877944,,,,,39.0,减仓
000001.SH,2023-06-06,3195.3404,3228.4068,3247.349,3189.2692,3232.441,-37.1006,-1.1477579946548078,308285872.0,387492228.8,,,,False,False,-0.011477579946548078,,,False,,False,False,264441429.0,,False,False,False,1513462717267.0,-0.0024083206737323115,,,,,39.0,减仓
000001.SH,2023-06-07,3197.7587,3197.4677,3210.3295,3188.0053,3195.3404,2.4183,0.07568207756518675,258063400.0,331083866.7,3212.04864,,,False,False,0.0007568207756518675,,,False,,False,False,522504829.0,,False,False,False,1513682566855.0,0.00014526263877656653,,,,,39.0,减仓
000001.SH,2023-06-08,3213.5855,3194.8348,3225.5263,3180.5354,3197.7587,15.8268,0.49493415497550153,293530741.0,353551633.2,3213.83884,,,False,False,0.004949341549755015,,,False,,False,False,816035570.0,,False,False,False,1511399933598.0,-0.0015079999644460607,-0.0010840817398501512,,,,35.0,减仓
000001.SH,2023-06-09,3231.4055,3213.033,3231.4055,3206.1027,3213.5855,17.82,0.5545207992754486,314155501.0,413341768.4,3214.10622,,,False,False,0.005545207992754486,,,False,,False,False,1130191071.0,,False,False,False,1508988367028.0,-0.0015955846737792934,-0.000754542017660631,,,,35.0,减仓
000001.SH,2023-06-12,3228.8336,3225.3049,3239.4368,3210.7135,3231.4055,-2.5719,-0.07959075393044746,313784444.0,403241619.6,3213.38474,,,False,True,-0.0007959075393044746,,,False,,False,False,816406627.0,,False,False,False,1512200611307.0,0.002128740253529271,-0.0006475804839303656,,,,35.0,减仓
000001.SH,2023-06-13,3233.6734,3223.8958,3235.0854,3215.4989,3228.8336,4.8398,0.14989313788111858,280628454.0,377193491.4,3221.05134,,,False,True,0.0014989313788111858,,,False,,False,False,1097035081.0,,False,False,False,1511876357864.0,-0.00021442488554457295,-0.0002088013262928179,,,,39.0,减仓
000001.SH,2023-06-14,3228.9887,3238.1189,3248.4609,3226.7743,3233.6734,-4.6847,-0.14487239187482848,303537260.0,404009517.8,3227.29734,,,False,True,-0.0014487239187482848,,,False,,False,False,793497821.0,,False,False,False,1510765165495.0,-0.0007349756897910842,-0.000384848992006348,,,,39.0,减仓
000001.SH,2023-06-15,3252.9751,3230.4512,3252.9751,3229.1452,3228.9887,23.9864,0.7428455850588822,313255752.0,437522981.5,3235.17526,,,False,False,0.007428455850588822,,,False,,False,False,1106753573.0,,False,False,False,1510024012704.0,-0.0004905810697304336,-0.00018136521306322262,,,,39.0,减仓
000001.SH,2023-06-16,3273.3341,3256.2989,3276.5522,3255.4988,3252.9751,20.359,0.6258578493269162,326281846.0,444375632.4,3243.5609799999997,,,False,False,0.006258578493269162,,,False,,False,False,1433035419.0,,False,False,False,1507280290692.0,-0.0018170055501878224,-0.00022564938834492842,,,,39.0,减仓
000001.SH,2023-06-19,3255.8057,3271.1635,3271.1635,3251.7789,3273.3341,-17.5284,-0.5354907096101202,327753047.0,455226178.2,3248.9554000000003,,,False,False,-0.005354907096101202,,,False,,False,False,1105282372.0,,False,False,False,1513484606574.0,0.004116232342659787,0.00017184902948117476,,,,39.0,减仓
000001.SH,2023-06-20,3240.3648,3252.5435,3252.8435,3237.7857,3255.8057,-15.4409,-0.4742574165282676,298260596.0,433243981.5,3250.2936799999998,,,False,True,-0.004742574165282676,,,False,,False,False,807021776.0,,False,False,False,1516479060673.0,0.0019785163892604984,0.000610437284442189,,,,43.0,止跌
000001.SH,2023-06-21,3197.9011,3230.1142,3236.3626,3197.9011,3240.3648,-42.4637,-1.3104604765488026,294377372.0,406234561.4,3244.0761599999996,,,False,True,-0.013104604765488026,,,False,,False,False,512644404.0,,False,False,False,1507358560331.0,-0.006014260650557435,-0.0004454197077110811,,,,39.0,减仓
000001.SH,2023-06-26,3150.6189,3177.2293,3181.0758,3144.2484,3197.9011,-47.2822,-1.4785385326644418,308129811.0,398859657.4,3223.60492,,,False,False,-0.014785385326644418,,,False,,False,False,204514593.0,,False,False,False,1505516517079.0,-0.0012220338945735376,-0.0005917102726797019,,,,35.0,减仓
000001.SH,2023-06-27,3189.4427,3153.3132,3194.4086,3148.2657,3150.6189,38.8238,1.232259477653752,287604327.0,354487810.6,3206.82664,,,False,False,0.012322594776537521,,,False,,False,False,492118920.0,,False,False,False,1504720404001.0,-0.0005287973057542805,-0.0003340686237929935,,,,39.0,减仓
000001.SH,2023-06-28,3189.3758,3183.4865,3192.6589,3157.1229,3189.4427,-0.0669,-0.0020975451291316283,276231948.0,360118192.5,3193.5406599999997,,,False,False,-2.0975451291316283e-05,,,False,,False,False,215886972.0,,False,False,False,1500202097785.0,-0.00300275466723654,-0.001757866025772259,,,,35.0,减仓
000001.SH,2023-06-29,3182.3812,3185.4242,3196.5025,3179.5251,3189.3758,-6.9946,-0.21930937081795499,250340074.0,340636710.9,3181.94394,,,False,False,-0.00219309370817955,,,False,,False,False,-34453102.0,,False,False,False,1501047980334.0,0.0005638457313510425,-0.0020408001573541503,,,,35.0,减仓
000001.SH,2023-06-30,3202.0623,3178.9242,3212.9928,3177.9913,3182.3812,19.6811,0.6184394251700587,265379873.0,359739563.4,3182.77618,3216.54958,,False,False,0.006184394251700587,,,False,295232918.9,False,False,230926771.0,,False,False,False,1495500256196.0,-0.0036959006045667042,-0.001577128148156004,,,,35.0,减仓
000001.SH,2023-07-03,3243.975,3209.1623,3246.8605,3209.1623,3202.0623,41.9127,1.3089283116071826,312371395.0,421353472.4,3201.4474,3218.516605,,False,True,0.013089283116071826,0.12350068323713283,,False,295234950.7,False,False,543298166.0,646226834.55,False,False,False,1498460492131.0,0.001979428570965114,-0.0009368356550482737,,,,43.0,止跌
